Kindred Hospital Tarrant County - Arlington,Pic Line Insertion,36569,CPT,Unnamed: 4,Unnamed: 5,2909.0,Unnamed: 7,2909.0.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,True,2025-04-21 07:48:50.948926,2025-04-21 07:48:50.948933,hospital_name,is_active,created_at,updated_at
Kindred Hospital Tarrant County - Arlington,Non-Selective Debridement,97602,CPT,,,481.62,,481.62,,,,True,2025-04-21 07:48:50.952726,2025-04-21 07:48:50.952728,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Unna Boot,29580,CPT,,,493.39,,493.39,,,,True,2025-04-21 07:48:50.953248,2025-04-21 07:48:50.953250,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Pt Evaluation Low Complexity,97161,CPT,,,250.13,,250.13,,,,True,2025-04-21 07:48:50.958178,2025-04-21 07:48:50.958183,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Pt Evaluation Mod Complexity,97162,CPT,,,243.36,,243.36,,,,True,2025-04-21 07:48:50.968052,2025-04-21 07:48:50.968059,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Pt Evaluation High Complexity,97163,CPT,,,290.36,,290.36,,,,True,2025-04-21 07:48:50.978318,2025-04-21 07:48:50.978334,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Gait Training 15 Min,97116,CPT,,,91.63,,91.63,,,,True,2025-04-21 07:48:50.991284,2025-04-21 07:48:50.991291,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Hot/Cold Packs Application,97010,CPT,,,85.51,,85.51,,,,True,2025-04-21 07:48:51.004207,2025-04-21 07:48:51.004210,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Vasopneumatic Devices,97016,CPT,,,123.3,,123.3,,,,True,2025-04-21 07:48:51.019951,2025-04-21 07:48:51.019955,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Massage 15 Min,97124,CPT,,,88.71,,88.71,,,,True,2025-04-21 07:48:51.032766,2025-04-21 07:48:51.032771,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Paraffin Bath,97018,CPT,,,113.49,,113.49,,,,True,2025-04-21 07:48:51.051894,2025-04-21 07:48:51.051897,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Physical Therapy Re-Evaluation,97164,CPT,,,242.37,,242.37,,,,True,2025-04-21 07:48:51.058930,2025-04-21 07:48:51.058937,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Therapeutic Procedure-Group,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.059787,2025-04-21 07:48:51.059789,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 30 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.059900,2025-04-21 07:48:51.059901,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
