Kindred Hospital Tarrant County - Arlington,Pic Line Insertion,36569,CPT,Unnamed: 4,Unnamed: 5,2909.0,Unnamed: 7,2909.0.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,True,2025-04-21 07:58:20.031638,2025-04-21 07:58:20.031641,hospital_name,is_active,created_at,updated_at
Kindred Hospital Tarrant County - Arlington,Non-Selective Debridement,97602,CPT,,,481.62,,481.62,,,,True,2025-04-21 07:58:20.033778,2025-04-21 07:58:20.033787,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Strapping Unna Boot,29580,CPT,,,493.39,,493.39,,,,True,2025-04-21 07:58:20.034241,2025-04-21 07:58:20.034243,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Pt Evaluation Low Complexity,97161,CPT,,,250.13,,250.13,,,,True,2025-04-21 07:58:20.034574,2025-04-21 07:58:20.034579,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Pt Evaluation Mod Complexity,97162,CPT,,,243.36,,243.36,,,,True,2025-04-21 07:58:20.035085,2025-04-21 07:58:20.035090,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Pt Evaluation High Complexity,97163,CPT,,,290.36,,290.36,,,,True,2025-04-21 07:58:20.035650,2025-04-21 07:58:20.035653,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Gait Training 15 Min,97116,CPT,,,91.63,,91.63,,,,True,2025-04-21 07:58:20.036115,2025-04-21 07:58:20.036119,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Hot/Cold Packs Application,97010,CPT,,,85.51,,85.51,,,,True,2025-04-21 07:58:20.036580,2025-04-21 07:58:20.036583,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Vasopneumatic Devices,97016,CPT,,,123.3,,123.3,,,,True,2025-04-21 07:58:20.036938,2025-04-21 07:58:20.036940,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Massage 15 Min,97124,CPT,,,88.71,,88.71,,,,True,2025-04-21 07:58:20.037210,2025-04-21 07:58:20.037212,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Paraffin Bath,97018,CPT,,,113.49,,113.49,,,,True,2025-04-21 07:58:20.037606,2025-04-21 07:58:20.037610,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Physical Therapy Re-Evaluation,97164,CPT,,,242.37,,242.37,,,,True,2025-04-21 07:58:20.038094,2025-04-21 07:58:20.038098,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Therapeutic Procedure-Group,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:58:20.038485,2025-04-21 07:58:20.038488,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 30 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:58:20.038951,2025-04-21 07:58:20.038955,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 45 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:58:20.040013,2025-04-21 07:58:20.040020,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 60 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:58:20.041494,2025-04-21 07:58:20.041498,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Sensory Stimulation 15 Min,97533,CPT,,,99.21,,99.21,,,,True,2025-04-21 07:58:20.043128,2025-04-21 07:58:20.043131,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Whirlpool,97022,CPT,,,208.27,,208.27,,,,True,2025-04-21 07:58:20.043422,2025-04-21 07:58:20.043425,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Contrast Bath 15 Min,97034,CPT,,,109.96,,109.96,,,,True,2025-04-21 07:58:20.043774,2025-04-21 07:58:20.043776,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Diathermy,97024,CPT,,,37.17,,37.17,,,,True,2025-04-21 07:58:20.044271,2025-04-21 07:58:20.044274,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Iontophoresis 15 Min,97033,CPT,,,171.93,,171.93,,,,True,2025-04-21 07:58:20.044647,2025-04-21 07:58:20.044649,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Traction,97012,CPT,,,149.84,,149.84,,,,True,2025-04-21 07:58:20.044871,2025-04-21 07:58:20.044874,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Ultraviolet,97028,CPT,,,79.0,,79.0,,,,True,2025-04-21 07:58:20.045198,2025-04-21 07:58:20.045201,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Test Physical Perform 15 Min,97750,CPT,,,171.04,,171.04,,,,True,2025-04-21 07:58:20.045513,2025-04-21 07:58:20.045516,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Lowfrequency Nonthermal Us/Day,97610,CPT,,,478.86,,478.86,,,,True,2025-04-21 07:58:20.045849,2025-04-21 07:58:20.045855,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Prosthetic Train 15 Min,97761,CPT,,,130.59,,130.59,,,,True,2025-04-21 07:58:20.046165,2025-04-21 07:58:20.046168,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
Kindred Hospital Tarrant County - Arlington,Neuromuscular Re-Ed 15 Min,97112,CPT,,,93.54,,93.54,,,,True,2025-04-21 07:58:20.046466,2025-04-21 07:58:20.046469,hospital_name,True,2025-04-21 07:58:29.613597,2025-04-21 07:58:29.613597
