Pic Line Insertion,36569,CPT,,,2909.0,2909.0,,
Non-Selective Debridement,97602,CPT,,,481.62,481.62,,
Strapping Unna Boot,29580,CPT,,,493.39,493.39,,
Pt Evaluation Low Complexity,97161,CPT,,,250.13,250.13,,
Pt Evaluation Mod Complexity,97162,CPT,,,243.36,243.36,,
Pt Evaluation High Complexity,97163,CPT,,,290.36,290.36,,
Gait Training 15 Min,97116,CPT,,,91.63,91.63,,
Hot/Cold Packs Application,97010,CPT,,,85.51,85.51,,
Vasopneumatic Devices,97016,CPT,,,123.3,123.3,,
Massage 15 Min,97124,CPT,,,88.71,88.71,,
Paraffin Bath,97018,CPT,,,113.49,113.49,,
Physical Therapy Re-Evaluation,97164,CPT,,,242.37,242.37,,
Therapeutic Procedure-Group,97150,CPT,,,65.64,65.64,,
Ther Procedure-Group 30 Min,97150,CPT,,,65.64,65.64,,
Ther Procedure-Group 45 Min,97150,CPT,,,65.64,65.64,,
Ther Procedure-Group 60 Min,97150,CPT,,,65.64,65.64,,
Sensory Stimulation 15 Min,97533,CPT,,,99.21,99.21,,
Whirlpool,97022,CPT,,,208.27,208.27,,
Contrast Bath 15 Min,97034,CPT,,,109.96,109.96,,
Diathermy,97024,CPT,,,37.17,37.17,,
Iontophoresis 15 Min,97033,CPT,,,171.93,171.93,,
Traction,97012,CPT,,,149.84,149.84,,
Ultraviolet,97028,CPT,,,79.0,79.0,,
Test Physical Perform 15 Min,97750,CPT,,,171.04,171.04,,
Lowfrequency Nonthermal Us/Day,97610,CPT,,,478.86,478.86,,
Prosthetic Train 15 Min,97761,CPT,,,130.59,130.59,,
Neuromuscular Re-Ed 15 Min,97112,CPT,,,93.54,93.54,,
Rom Testing Extremity/Trunk,95851,CPT,,,138.24,138.24,,
Rom Testing Hand,95852,CPT,,,99.0,99.0,,
Manual Therapy 15 Min,97140,CPT,,,92.15,92.15,,
Therapeutic Exercise 15 Min,97110,CPT,,,98.6,98.6,,
Wheelchair Training 15 Min,97542,CPT,,,65.0,65.0,,
Pt Educat/Training 30/Min,98960,CPT,,,115.58,115.58,,
Ultrasound 15 Min,97035,CPT,,,93.94,93.94,,
Elec Stim Attended 15 Min,97032,CPT,,,106.51,106.51,,
Home Mgt Training 15 Min,97535,CPT,,,91.19,91.19,,
Orthotic Fit/Train 15 Min,97760,CPT,,,108.92,108.92,,
Othotic Fit/Train Subseq15Min,97763,CPT,,,89.66,89.66,,
Ther Act Direct 15 Min,97530,CPT,,,104.42,104.42,,
Assistive Tech Assess 15 Min,97755,CPT,,,144.02,144.02,,
Whirlpool Hubbard Tank 15Min,97036,CPT,,,200.36,200.36,,
Apply Splint Short Arm Static,29125,CPT,,,545.61,545.61,,
Apply Splint Short Arm Dynam,29126,CPT,,,483.43,483.43,,
Apply Splint Finger Static,29130,CPT,,,424.73,424.73,,
Apply Splint Finger Dynam,29131,CPT,,,453.69,453.69,,
Strapping Thorax,29200,CPT,,,56.0,56.0,,
Strapping Shoulder,29240,CPT,,,513.65,513.65,,
Strapping Elbow Or Wrist,29260,CPT,,,255.16,255.16,,
Apply Splint Short Leg,29515,CPT,,,645.93,645.93,,
Strapping Hip,29520,CPT,,,210.92,210.92,,
Strapping Knee,29530,CPT,,,342.39,342.39,,
Strapping Ankle And/Or Foot,29540,CPT,,,270.85,270.85,,
Strapping Toes,29550,CPT,,,369.25,369.25,,
Dry Needling 1 Or 2 Muscles,20560,CPT,,,148.1,148.1,,
Dry Needling 3 Or More Muscles,20561,CPT,,,230.37,230.37,,
Comm/Work Reinteg 15 Min,97537,CPT,,,69.38,69.38,,
Neg Press Wound Ther<=50Sqcm,97605,CPT,,,766.94,766.94,,
Npwt Disp Equip >50 Sq Cm,97608,CPT,,,1519.09,1519.09,,
Npwt Disp Equip <=50 Sq Cm,97607,CPT,,,1218.65,1218.65,,
Neg Press Wound Ther >50Sqcm,97606,CPT,,,802.34,802.34,,
Biofeedback Training,90901,CPT,,,67.05,67.05,,
Selectiv Debride 1St 20 Sq Cm,97597,CPT,,,666.86,666.86,,
Selectiv Debride Ea Ad 20Sq Cm,97598,CPT,,,602.45,602.45,,
Vestibular Rehab,95992,CPT,,,176.24,176.24,,
Infrared,97026,CPT,,,98.43,98.43,,
Work Hard/Cond Init 2 Hrs,97545,CPT,,,1176.0,1176.0,,
Aquatic Therapy W/Exer 15 Min,97113,CPT,,,158.0,158.0,,
Strapping Hand Or Finger,29280,CPT,,,327.47,327.47,,
Apply Cylndr Cast Thigh-Ankle,29365,CPT,,,831.0,831.0,,
Elec Stim Not Wound Unattended,97014,CPT,,,127.22,127.22,,
Sensory Stimulation 15 Min,97533,CPT,,,99.21,99.21,,
Neuromuscular Re-Ed 15 Min,97112,CPT,,,93.54,93.54,,
Elec Stim Not Wound Unattended,97014,CPT,,,127.22,127.22,,
Therapeutic Procedure-Group,97150,CPT,,,65.64,65.64,,
Hot/Cold Packs Application,97010,CPT,,,85.51,85.51,,
Ther Procedure-Group 15 Min,97150,CPT,,,65.64,65.64,,
Ther Procedure-Group 45 Min,97150,CPT,,,65.64,65.64,,
Ther Procedure-Group 60 Min,97150,CPT,,,65.64,65.64,,
Manual Therapy 15 Min,97140,CPT,,,92.15,92.15,,
Massage 15 Min,97124,CPT,,,88.71,88.71,,
Paraffin Bath,97018,CPT,,,113.49,113.49,,
Therapeutic Exercise 15 Min,97110,CPT,,,98.6,98.6,,
Apply Splint Long Arm,29105,CPT,,,743.78,743.78,,
Apply Splint Long Leg,29505,CPT,,,671.1,671.1,,
Assistive Tech Assess 15 Min,97755,CPT,,,144.02,144.02,,
Whirlpool,97022,CPT,,,208.27,208.27,,
Iontophoresis 15 Min,97033,CPT,,,171.93,171.93,,
Ultrasound 15 Min,97035,CPT,,,93.94,93.94,,
Ther Int Cog Func 1St 15 Min,97129,CPT,,,73.85,73.85,,
Ther Int Cog Func Eaaddl 15Mi,97130,CPT,,,68.31,68.31,,
Wheelchair Training 15 Min,97542,CPT,,,65.0,65.0,,
